row_type,cell_id,transform,measurability,drawing_id,param_idx,param,n_lid,n_flip,violation_frac,r_meta,verdict
obs,F01,translate,MEASURABLE,colorful_1261,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1909,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_1261,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1909,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_1261,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1909,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13804,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",875,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13804,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",875,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13804,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",875,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13824,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1672,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13824,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1672,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13824,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1672,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13826,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1370,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13826,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1370,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_13826,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1370,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14036,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",518,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14036,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",518,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14036,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",518,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14126,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1007,0,0.00000000,,
obs,F01,translate,MEASURABLE,colorful_14126,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1007,0,0.00000000,,
