idx,rel,parsed,reason,units,n_entities,n_layers,n_block_defs,n_block_refs,wall_candidates,text_count,n_insert,n_hatch,all_have_handle,unique_handle,owner_ok_frac,axis1_hit,axis1_categories,kr_present,mojibake,staged_sha256
0,01 건축(사업승인)/건축/A20-001 실내재료마감표(아파트).dwg,True,,2,389,10,7,1,67,320,1,1,True,True,1.0,True,dimension|text_note,True,False,702eb0a657f00a37d5c71152b84b460b34d45e3d2fb107d143ef2f3a6d029879
1,01 건축(사업승인)/건축/A20-002 실내재료마감표(오피스텔).dwg,True,,2,437,11,7,1,71,364,1,1,True,True,1.0,True,dimension|text_note,True,False,9ac4eef2d4eadf7f295fd2a787ef8e14c25b0dab9ec94e9d4313abfdfacc8eb6
2,01 건축(사업승인)/건축/A20-011~015 형별성능관계내역(아파트).dwg,True,,2,9089,39,34,101,8036,810,101,24,True,True,1.0,True,column|dimension|finish_hatch|text_note,True,False,584f480ebdc968c970b5de294bdcaf897a8b0bb6c66f2789939a8dd3cda655c8
3,01 건축(사업승인)/건축/A20-021~024 형별성능관계내역(오피스텔).dwg,True,,2,4764,47,43,63,4084,502,63,13,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|text_note,True,False,74cd648d945bfa7a6f9e6ee404d3c80ac5131159d38e9426fd2685e37c08f633
4,01 건축(사업승인)/건축/A30-001~013 단위세대 평면도(기본형).dwg,True,,2,1619,76,1010,231,464,394,231,0,True,True,1.0,True,dimension|finish_hatch|grid_axis|opening|text_note|wall,True,False,26cf4997fd4eae37a5f73fa7c0b1f60d8d823c348d6c140670bf026a68e01163
5,"01 건축(사업승인)/건축/A30-002~016 단위세대 평면도(확장형),오피스텔 단위 평면도.dwg",True,,2,2099,116,1894,309,534,598,309,0,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|opening|room_space|slab_floor|text_note|wall,True,False,154917e050c720a602a5cc1391c04aaf1e5ce70781e222402f024d4bf72e0142
6,01 건축(사업승인)/건축/A30-101~116 주단면도(확장형).dwg,True,,2,4628,100,1411,478,2226,984,478,35,True,True,1.0,True,dimension|finish_hatch|grid_axis|opening|room_space|text_note|wall,True,False,cc1bd52c4e2b9435413d76bcebd7821921b8c4eb4de5e18ea420b507591fc73c
7,01 건축(사업승인)/건축/A40-001~082 101~108동 평면도(지하층).dwg,True,,2,2106,81,1515,32,492,662,32,0,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|opening|room_space|text_note,True,False,d7eb62c2b393a04f94a2605a1459e7823e0020e16c7a250be72fde242ec453bf
8,01 건축(사업승인)/건축/A40-003~087 101~108동 평면도.dwg,True,,2,3876,118,3560,109,984,795,109,0,True,True,1.0,True,column|dimension|finish_hatch|grid_axis|opening|room_space|slab_floor|text_note|wall,True,False,1560dad9d093456df1b25ce2ef03ba557de37aa218ee384573e91bd533301977
9,01 건축(사업승인)/건축/A40-011~089 101~108동 입면도.dwg,True,,2,15842,86,1094,4929,9609,691,4929,393,True,True,1.0,True,dimension|finish_hatch|grid_axis|opening|text_note|wall,True,False,b6cdc4d4b5cb210ceaf104ee99fc79b3c1ef46eeff3307db5047ce24f48a266c
