evidence_id,axis,status,metric,value,unit,numerator,denominator,source_path,sample_key,detail
E00001,precheck,PASS,absolute_paths,True,,,,D:\runs\e2_program\cells\m12_archcad\PREREG_local.json,,All declared input/output paths are absolute
E00002,precheck,PASS,prereg_json_sha256,46facdbd18d1dfdcd26b3a630cb1b4cbb114b6471104af39ba320a40552ca721,,,,D:\runs\e2_program\cells\m12_archcad\PREREG_local.json,,
E00003,precheck,PASS,prereg_csv_sha256,aa0526e21535379a5e0303af3753ce8088312bf3f2b315ab19bd58831134789e,,,,D:\runs\e2_program\cells\m12_archcad\PREREG.csv,,
E00004,schema,PASS,candidate_count,41097,samples,,,D:\datasets\ArchCAD,,
E00005,schema,PASS,sample_count,500,samples,,,D:\datasets\ArchCAD,,
E00006,schema,PASS,five_modality_full_parse_rate,1.0,ratio,500,500,D:\datasets\ArchCAD,,
E00007,schema,PASS,alignment_rate_among_fully_parsed,1.0,ratio,500,500,D:\datasets\ArchCAD,,
E00008,schema,PASS,observed_semantic_ids,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|100,IDs,,,D:\datasets\ArchCAD\data\json,,
E00009,schema,PASS,unexplained_semantic_rate,0.0,ratio,0,208191,D:\datasets\ArchCAD\data\json,,
E00010,schema,PASS,wall_semantic_20_occurrences,19265,entities,,,D:\datasets\ArchCAD\data\json,,
E00011,split_isolation,FAIL,official_split_exists,False,,,,D:\datasets\ArchCAD,,Complete path census; no train/val/test manifest or directory
E00012,split_isolation,FAIL,project_or_drawing_grouping_key_count,0,keys,,,D:\datasets\ArchCAD\data\json,,Top-level sampled JSON keys
E00013,coordinates,INCONCLUSIVE,coordinate_parse_rate,1.0,ratio,500,500,D:\datasets\ArchCAD,,
E00014,coordinates,INCONCLUSIVE,npy_yx_orientation_rate,1.0,ratio,500,500,D:\datasets\ArchCAD\data\point,,
E00015,coordinates,INCONCLUSIVE,cross_modal_extent_residual_pass_rate_le_5pct,0.994,ratio,497,500,D:\datasets\ArchCAD,,
E00016,coordinates,INCONCLUSIVE,machine_readable_physical_unit,UNKNOWN,,,,D:\datasets\ArchCAD,,README 14m claim is prose-only under prereg criteria
E00017,coordinates,INCONCLUSIVE,occupied_span_x_p05_median_p95,866.2669318795789|980.0000000000118|1639.2794247623203,coordinate_units,,,D:\datasets\ArchCAD\data\json,,
E00018,coordinates,INCONCLUSIVE,occupied_span_y_p05_median_p95,758.6236567537138|980.0000000000036|1972.3116783703956,coordinate_units,,,D:\datasets\ArchCAD\data\json,,
E00019,schema,PASS,class_observation,3225,entities,,,D:\datasets\ArchCAD\data\json,,id=0;name=Axis & Grid;documented_countable=False;instance_presence_rate=0.0
E00020,schema,PASS,class_observation,2805,entities,,,D:\datasets\ArchCAD\data\json,,id=1;name=Single Door;documented_countable=True;instance_presence_rate=1.0
E00021,schema,PASS,class_observation,3120,entities,,,D:\datasets\ArchCAD\data\json,,id=2;name=Double Door;documented_countable=True;instance_presence_rate=0.9987179487179487
E00022,schema,PASS,class_observation,326,entities,,,D:\datasets\ArchCAD\data\json,,id=3;name=Parent-Child Door;documented_countable=True;instance_presence_rate=1.0
E00023,schema,PASS,class_observation,1834,entities,,,D:\datasets\ArchCAD\data\json,,id=4;name=Other Door;documented_countable=True;instance_presence_rate=0.9760087241003271
E00024,schema,PASS,class_observation,1283,entities,,,D:\datasets\ArchCAD\data\json,,id=5;name=Elevator;documented_countable=True;instance_presence_rate=1.0
E00025,schema,PASS,class_observation,3713,entities,,,D:\datasets\ArchCAD\data\json,,id=6;name=Staircase;documented_countable=True;instance_presence_rate=0.9935362240775654
E00026,schema,PASS,class_observation,4504,entities,,,D:\datasets\ArchCAD\data\json,,id=7;name=Sink;documented_countable=True;instance_presence_rate=1.0
E00027,schema,PASS,class_observation,1103,entities,,,D:\datasets\ArchCAD\data\json,,id=8;name=Urinal;documented_countable=True;instance_presence_rate=1.0
E00028,schema,PASS,class_observation,2840,entities,,,D:\datasets\ArchCAD\data\json,,id=9;name=Toilet;documented_countable=True;instance_presence_rate=1.0
E00029,schema,PASS,class_observation,1000,entities,,,D:\datasets\ArchCAD\data\json,,id=10;name=Bathtub;documented_countable=True;instance_presence_rate=1.0
E00030,schema,PASS,class_observation,1250,entities,,,D:\datasets\ArchCAD\data\json,,id=11;name=Squat Toilet;documented_countable=True;instance_presence_rate=1.0
E00031,schema,PASS,class_observation,5125,entities,,,D:\datasets\ArchCAD\data\json,,id=12;name=Other Fixtures;documented_countable=False;instance_presence_rate=0.0
E00032,schema,PASS,class_observation,1712,entities,,,D:\datasets\ArchCAD\data\json,,id=13;name=Drain;documented_countable=False;instance_presence_rate=0.0
E00033,schema,PASS,class_observation,1467,entities,,,D:\datasets\ArchCAD\data\json,,id=14;name=Table;documented_countable=True;instance_presence_rate=1.0
E00034,schema,PASS,class_observation,6240,entities,,,D:\datasets\ArchCAD\data\json,,id=15;name=Chair;documented_countable=True;instance_presence_rate=1.0
E00035,schema,PASS,class_observation,1628,entities,,,D:\datasets\ArchCAD\data\json,,id=16;name=Bed;documented_countable=True;instance_presence_rate=1.0
E00036,schema,PASS,class_observation,1054,entities,,,D:\datasets\ArchCAD\data\json,,id=17;name=Sofa;documented_countable=True;instance_presence_rate=1.0
